Thu, 2013.02.21 7:00, 7:00, CHF, medium, Trade Balance, 0.90B, 1.74B, 2.13B
Thu, 2013.06.27 15:00, 15:00, USD, medium, FOMC Member Dudley Speaks, , , 
Thu, 2013.06.27 15:30, 15:30, USD, medium, FOMC Member Powell Speaks, , , 
Thu, 2013.06.27 15:30, 15:30, USD, low, Natural Gas Storage, 91B, 89B, 95B
Thu, 2013.06.27 23:45, 23:45, NZD, medium, Building Consents m/m, 21.0%, , 1.3%
Fri, 2013.06.28 0:05, 0:05, GBP, low, GfK Consumer Confidence, -22, -21, -21
Fri, 2013.06.28 0:15, 0:15, JPY, low, Final Manufacturing PMI, 51.5, , 52.3
Fri, 2013.06.28 0:30, 0:30, JPY, medium, Household Spending y/y, 1.5%, 1.5%, -1.6%
Fri, 2013.06.28 0:30, 0:30, JPY, medium, Tokyo Core CPI y/y, 0.1%, 0.2%, 0.2%
Fri, 2013.06.28 0:30, 0:30, JPY, low, National Core CPI y/y, -0.4%, 0.0%, 0.0%
Fri, 2013.06.28 0:30, 0:30, JPY, low, Unemployment Rate, 4.1%, 4.0%, 4.1%
Fri, 2013.06.28 0:50, 0:50, JPY, medium, Prelim Industrial Production m/m, 1.7%, 0.2%, 2.0%
Fri, 2013.06.28 0:50, 0:50, JPY, medium, Retail Sales y/y, -0.2%, 0.1%, 0.8%
Fri, 2013.06.28 2:30, 2:30, AUD, medium, Private Sector Credit m/m, 0.3%, 0.2%, 0.3%
Fri, 2013.06.28 6:00, 6:00, JPY, low, Housing Starts y/y, 5.8%, 6.3%, 14.5%
Fri, 2013.06.28 7:00, 7:00, EUR, medium, German Retail Sales m/m, -0.1%, 0.4%, 0.8%
Fri, 2013.06.28 7:00, 7:00, GBP, medium, Nationwide HPI m/m, 0.4%, 0.4%, 0.3%
Fri, 2013.06.28 5:00, 5:00, EUR, medium, German Prelim CPI m/m, 0.4%, 0.0%, 0.1%
Fri, 2013.06.28 7:45, 7:45, EUR, medium, French Consumer Spending m/m, -0.5%, 0.0%, 0.5%
Fri, 2013.06.28 8:00, 8:00, CHF, medium, KOF Economic Barometer, 1.09, 1.21, 1.16
Fri, 2013.06.28 9:30, 9:30, GBP, low, Index of Services 3m/3m, 0.5%, 0.2%, 0.8%
Fri, 2013.06.28 10:00, 10:00, EUR, low, Italian Prelim CPI m/m, 0.0%, 0.1%, 0.3%
Fri, 2013.06.28 5:00, 5:00, EUR, medium, EU Economic Summit, , , 
Fri, 2013.06.28 13:00, 13:00, USD, medium, FOMC Member Stein Speaks, , , 
Fri, 2013.06.28 13:30, 13:30, CAD, high, GDP m/m, 0.2%, 0.1%, 0.1%
Fri, 2013.06.28 13:30, 13:30, CAD, medium, RMPI m/m, -2.4%, 0.5%, 0.2%
Fri, 2013.06.28 13:30, 13:30, CAD, low, IPPI m/m, -0.9%, 0.7%, 0.0%
Fri, 2013.06.28 14:45, 14:45, USD, medium, Chicago PMI, 58.7, 55.5, 51.6
Fri, 2013.06.28 14:55, 14:55, USD, medium, Revised UoM Consumer Sentiment, 82.7, 83.1, 84.1
Fri, 2013.06.28 14:55, 14:55, USD, low, Revised UoM Inflation Expectations, 3.2%, , 3.0%
Mon, 2013.07.01 7:30, 7:30, AUD, low, Commodity Prices y/y, -8.2%, , -10.5%
Mon, 2013.07.01 8:15, 8:15, EUR, medium, Spanish Manufacturing PMI, 48.1, 48.9, 50.0
Mon, 2013.07.01 8:30, 8:30, CHF, medium, Manufacturing PMI, 52.2, 52.5, 51.9
Mon, 2013.07.01 8:45, 8:45, EUR, medium, Italian Manufacturing PMI, 47.3, 47.8, 49.1
Mon, 2013.07.01 8:50, 8:50, EUR, low, French Final Manufacturing PMI, 48.3, 48.3, 48.4
Mon, 2013.07.01 8:55, 8:55, EUR, low, German Final Manufacturing PMI, 48.7, 48.7, 48.6
Mon, 2013.07.01 9:00, 9:00, EUR, low, Final Manufacturing PMI, 48.7, 48.7, 48.8
Mon, 2013.07.01 9:00, 9:00, EUR, low, Italian Monthly Unemployment Rate, 12.0%, 12.1%, 12.2%
Mon, 2013.07.01 9:30, 9:30, GBP, high, Final Manufacturing PMI, 51.5, 51.3, 52.5
Mon, 2013.07.01 9:30, 9:30, GBP, medium, Net Lending to Individuals m/m, 1.3B, 1.4B, 1.0B
Mon, 2013.07.01 9:30, 9:30, GBP, low, FPC Meeting Minutes, , , 
Mon, 2013.07.01 9:30, 9:30, GBP, low, M4 Money Supply m/m, 0.3%, 0.0%, -0.1%
Mon, 2013.07.01 9:30, 9:30, GBP, low, Mortgage Approvals, 54K, 56K, 58K
Mon, 2013.07.01 10:00, 10:00, EUR, medium, CPI Flash Estimate y/y, 1.4%, 1.6%, 1.6%
Mon, 2013.07.01 10:00, 10:00, EUR, medium, Unemployment Rate, 12.0%, 12.3%, 12.1%
Mon, 2013.07.01 10:00, 10:00, EUR, low, Core CPI Flash Estimate y/y, 1.2%, , 1.2%
Mon, 2013.07.01 5:00, 5:00, CAD, holiday, Bank Holiday, , , 
Mon, 2013.07.01 14:00, 14:00, USD, low, Final Manufacturing PMI, 52.2, 52.4, 51.9
Mon, 2013.07.01 15:00, 15:00, USD, high, ISM Manufacturing PMI, 49.0, 50.6, 50.9
Mon, 2013.07.01 15:00, 15:00, USD, low, Construction Spending m/m, 0.1%, 0.6%, 0.5%
Mon, 2013.07.01 15:00, 15:00, USD, low, ISM Manufacturing Prices, 49.5, 50.5, 52.5
Tue, 2013.07.02 0:50, 0:50, JPY, low, Monetary Base y/y, 31.6%, 41.2%, 36.0%
Tue, 2013.07.02 2:00, 2:00, NZD, low, ANZ Commodity Prices m/m, -1.6%, , -3.7%
Tue, 2013.07.02 2:30, 2:30, JPY, medium, Average Cash Earnings y/y, 0.0%, 0.6%, 0.0%
Tue, 2013.07.02 4:45, 4:45, JPY, low, 10-y Bond Auction, 0.86|3.1, , 0.88|2.4
Tue, 2013.07.02 17:30, 17:30, AUD, high, Cash Rate, 2.75%, 2.75%, 2.75%
Tue, 2013.07.02 17:30, 17:30, AUD, high, RBA Rate Statement, , , 
Tue, 2013.07.02 8:00, 8:00, EUR, medium, Spanish Unemployment Change, -98.3K, -83.5K, -127.2K
Tue, 2013.07.02 9:30, 9:30, GBP, high, Construction PMI, 50.8, 51.3, 51.0
Tue, 2013.07.02 10:00, 10:00, EUR, low, PPI m/m, -0.6%, -0.2%, -0.3%
Tue, 2013.07.02 10:00, 10:00, GBP, medium, MPC Member Tucker Speaks, , , 
Tue, 2013.07.02 10:38, 10:38, GBP, medium, 10-y Bond Auction, 2.37|1.5, , 2.58|1.8
Tue, 2013.07.02 14:30, 14:30, CAD, low, Manufacturing PMI, 53.2, , 52.4
Tue, 2013.07.02 15:00, 15:00, USD, medium, Factory Orders m/m, 1.3%, 2.0%, 2.1%
Tue, 2013.07.02 15:00, 15:00, USD, low, IBD/TIPP Economic Optimism, 49.0, 49.3, 47.1
Tue, 2013.07.02 15:30, 15:30, NZD, low, GDT Price Index, 2.4%, , 0.7%
Tue, 2013.07.02 5:00, 5:00, USD, low, Total Vehicle Sales, 15.3M, 15.3M, 16.0M
Wed, 2013.07.03 5:30, 5:30, USD, medium, FOMC Member Dudley Speaks, , , 
Tue, 2013.07.02 22:45, 22:45, USD, medium, FOMC Member Powell Speaks, , , 
Wed, 2013.07.03 0:01, 0:01, GBP, low, BRC Shop Price Index y/y, -0.1%, , -0.2%
Wed, 2013.07.03 0:30, 0:30, AUD, low, AIG Services Index, 40.6, , 41.5
Wed, 2013.07.03 1:57, 1:57, CNY, medium, Non-Manufacturing PMI, 54.3, , 53.9
Wed, 2013.07.03 2:00, 2:00, AUD, medium, HIA New Home Sales m/m, 3.9%, , 1.6%
Wed, 2013.07.03 2:30, 2:30, AUD, high, Retail Sales m/m, -0.1%, 0.4%, 0.1%
Wed, 2013.07.03 2:30, 2:30, AUD, high, Trade Balance, 0.17B, 0.05B, 0.67B
Wed, 2013.07.03 2:45, 2:45, CNY, medium, Caixin Services PMI, 51.2, , 51.3
Wed, 2013.07.03 3:55, 3:55, AUD, high, RBA Gov Stevens Speaks, , , 
Wed, 2013.07.03 8:15, 8:15, EUR, medium, Spanish Services PMI, 47.3, 47.8, 47.8
Wed, 2013.07.03 8:45, 8:45, EUR, medium, Italian Services PMI, 46.5, 47.1, 45.8
Wed, 2013.07.03 8:50, 8:50, EUR, low, French Final Services PMI, 46.5, 46.5, 47.2
Wed, 2013.07.03 8:55, 8:55, EUR, low, German Final Services PMI, 51.3, 51.3, 50.4
Wed, 2013.07.03 9:00, 9:00, EUR, low, Final Services PMI, 48.6, 48.6, 48.3
Wed, 2013.07.03 9:30, 9:30, GBP, high, Final Services PMI, 54.9, 54.6, 56.9
Wed, 2013.07.03 9:30, 9:30, GBP, medium, BOE Credit Conditions Survey, , , 
Wed, 2013.07.03 9:30, 9:30, GBP, low, Housing Equity Withdrawal q/q, -8.3B, -8.5B, -8.8B
Wed, 2013.07.03 10:00, 10:00, EUR, medium, Retail Sales m/m, -0.2%, 0.4%, 1.0%
Wed, 2013.07.03 12:30, 12:30, USD, low, Challenger Job Cuts y/y, -41.2%, , 4.8%
Wed, 2013.07.03 13:15, 13:15, USD, high, ADP Non-Farm Employment Change, 134K, 161K, 188K
Wed, 2013.07.03 13:30, 13:30, CAD, high, Trade Balance, -1.0B, -0.7B, -0.3B
Wed, 2013.07.03 13:30, 13:30, USD, high, Trade Balance, -40.1B, -40.3B, -45.0B
Wed, 2013.07.03 13:30, 13:30, USD, high, Unemployment Claims, 348K, 345K, 343K
Wed, 2013.07.03 15:00, 15:00, USD, high, ISM Services PMI, 53.7, 54.3, 52.2
Wed, 2013.07.03 15:00, 15:00, USD, medium, Treasury Sec Lew Speaks, , , 
Wed, 2013.07.03 15:30, 15:30, USD, medium, Crude Oil Inventories, 0.0M, -2.6M, -10.3M
Thu, 2013.07.04 5:00, 5:00, USD, low, Natural Gas Storage, 95B, 75B, 72B
Thu, 2013.07.04 1:30, 1:30, JPY, high, BOJ Gov Kuroda Speaks, , , 
Thu, 2013.07.04 2:30, 2:30, AUD, high, Building Approvals m/m, 9.5%, -0.9%, -1.1%
Thu, 2013.07.04 3:30, 3:30, AUD, medium, RBA Deputy Gov Lowe Speaks, , , 
Thu, 2013.07.04 4:45, 4:45, JPY, low, 30-y Bond Auction, 1.87|4.1, , 1.89|4.0
Thu, 2013.07.04 8:00, 8:00, GBP, medium, Halifax HPI m/m, 0.5%, 0.4%, 0.6%
Thu, 2013.07.04 9:57, 9:57, EUR, medium, French 10-y Bond Auction, 2.04|1.6, , 2.32|1.7
Thu, 2013.07.04 10:00, 10:00, EUR, low, Final GDP q/q, -0.2%, -0.2%, -0.3%
Thu, 2013.07.04 12:00, 12:00, GBP, high, Asset Purchase Facility, 375B, 375B, 375B
Thu, 2013.07.04 12:00, 12:00, GBP, high, MPC Rate Statement, , , 
Thu, 2013.07.04 12:00, 12:00, GBP, high, Official Bank Rate, 0.50%, 0.50%, 0.50%
Thu, 2013.07.04 12:45, 12:45, EUR, high, Main Refinancing Rate, 0.50%, 0.50%, 0.50%
Thu, 2013.07.04 5:00, 5:00, USD, holiday, Bank Holiday, , , 
Thu, 2013.07.04 13:30, 13:30, EUR, high, ECB Press Conference, , , 
Fri, 2013.07.05 0:30, 0:30, AUD, low, AIG Construction Index, 35.3, , 39.5
Fri, 2013.07.05 6:00, 6:00, JPY, low, Leading Indicators, 107.7%, 96.3%, 110.5%
Fri, 2013.07.05 7:45, 7:45, EUR, low, French Trade Balance, -4.5B, -4.5B, -6.0B
Fri, 2013.07.05 8:00, 8:00, CHF, medium, Foreign Currency Reserves, 441B, , 435B
Fri, 2013.07.05 8:15, 8:15, CHF, high, CPI m/m, 0.1%, -0.1%, 0.1%
Fri, 2013.07.05 11:00, 11:00, EUR, medium, German Factory Orders m/m, -2.2%, 1.3%, -1.3%
Fri, 2013.07.05 13:30, 13:30, CAD, high, Employment Change, 95.0K, -4.2K, -0.4K
Fri, 2013.07.05 13:30, 13:30, CAD, high, Unemployment Rate, 7.1%, 7.1%, 7.1%
Fri, 2013.07.05 13:30, 13:30, USD, high, Non-Farm Employment Change, 195K, 163K, 195K
Fri, 2013.07.05 13:30, 13:30, USD, high, Unemployment Rate, 7.6%, 7.5%, 7.6%
Fri, 2013.07.05 13:30, 13:30, USD, medium, Average Hourly Earnings m/m, 0.1%, 0.2%, 0.4%
Fri, 2013.07.05 15:00, 15:00, CAD, high, Ivey PMI, 63.1, 59.6, 55.3
Mon, 2013.07.08 6:00, 6:00, JPY, low, Economy Watchers Sentiment, 55.7, 55.6, 53.0
Mon, 2013.07.08 6:45, 6:45, CHF, low, Unemployment Rate, 3.2%, 3.2%, 3.2%
Mon, 2013.07.08 7:00, 7:00, EUR, medium, German Trade Balance, 17.5B, 17.4B, 14.1B
Mon, 2013.07.08 9:30, 9:30, EUR, low, Sentix Investor Confidence, -11.6, -11.5, -12.6
Mon, 2013.07.08 5:00, 5:00, EUR, high, Eurogroup Meetings, , , 
Mon, 2013.07.08 11:00, 11:00, EUR, medium, German Industrial Production m/m, 2.0%, -0.5%, -1.0%
Mon, 2013.07.08 13:30, 13:30, CAD, high, Building Permits m/m, 11.2%, 2.6%, 4.5%
Mon, 2013.07.08 13:30, 13:30, EUR, high, ECB President Draghi Speaks, , , 
Mon, 2013.07.08 14:30, 14:30, EUR, high, ECB President Draghi Speaks, , , 
Mon, 2013.07.08 15:30, 15:30, CAD, medium, BOC Business Outlook Survey, , , 
Mon, 2013.07.08 20:00, 20:00, USD, low, Consumer Credit m/m, 10.9B, 13.2B, 19.6B
Mon, 2013.07.08 23:00, 23:00, NZD, high, NZIER Business Confidence, 23, , 32
Tue, 2013.07.09 0:01, 0:01, GBP, medium, BRC Retail Sales Monitor y/y, 1.8%, , 1.4%
Tue, 2013.07.09 0:01, 0:01, GBP, low, RICS House Price Balance, 5%, 9%, 21%
Tue, 2013.07.09 0:50, 0:50, JPY, low, M2 Money Stock y/y, 3.5%, 3.4%, 3.8%
Tue, 2013.07.09 2:30, 2:30, AUD, medium, NAB Business Confidence, -1, , 0
Tue, 2013.07.09 2:30, 2:30, CNY, high, CPI y/y, 2.1%, 2.5%, 2.7%
Tue, 2013.07.09 2:30, 2:30, CNY, medium, PPI y/y, -2.9%, -2.5%, -2.7%
Tue, 2013.07.09 7:00, 7:00, JPY, low, Prelim Machine Tool Orders y/y, -7.4%, , -12.4%
Tue, 2013.07.09 7:45, 7:45, EUR, low, French Gov Budget Balance, -66.8B, , -72.6B
Tue, 2013.07.09 8:15, 8:15, CHF, medium, Retail Sales y/y, 3.1%, 3.7%, 1.8%
Tue, 2013.07.09 9:30, 9:30, GBP, high, Manufacturing Production m/m, -0.2%, 0.3%, -0.8%
Tue, 2013.07.09 9:30, 9:30, GBP, medium, Goods Trade Balance, -8.4B, -8.4B, -8.5B
Tue, 2013.07.09 9:30, 9:30, GBP, low, Industrial Production m/m, -0.1%, 0.3%, 0.0%
Tue, 2013.07.09 5:00, 5:00, EUR, medium, ECOFIN Meetings, , , 
Tue, 2013.07.09 12:30, 12:30, USD, low, NFIB Small Business Index, 94.4, 96.2, 93.5
Tue, 2013.07.09 13:13, 13:13, CAD, low, Housing Starts, 205K, 189K, 200K
Tue, 2013.07.09 15:00, 15:00, GBP, medium, NIESR GDP Estimate, 0.6%, , 0.6%
Tue, 2013.07.09 15:00, 15:00, USD, medium, JOLTS Job Openings, 3.80M, 3.81M, 3.83M
Wed, 2013.07.10 0:50, 0:50, JPY, medium, Tertiary Industry Activity m/m, -0.5%, 0.9%, 1.2%
Wed, 2013.07.10 0:50, 0:50, JPY, low, PPI y/y, 0.5%, 1.2%, 1.2%
Wed, 2013.07.10 1:30, 1:30, AUD, high, Westpac Consumer Sentiment, 4.7%, , -0.1%
Wed, 2013.07.10 3:00, 3:00, CNY, high, USD-Denominated Trade Balance, 20.4B, 27.8B, 27.1B
Wed, 2013.07.10 6:00, 6:00, JPY, low, Consumer Confidence, 45.7, 47.2, 44.3
Wed, 2013.07.10 7:00, 7:00, EUR, low, German Final CPI m/m, 0.1%, 0.1%, 0.1%
Wed, 2013.07.10 7:45, 7:45, EUR, medium, French Industrial Production m/m, 2.2%, -0.5%, -0.4%
Wed, 2013.07.10 8:40, 8:40, AUD, medium, RBA Deputy Gov Debelle Speaks, , , 
Wed, 2013.07.10 9:00, 9:00, EUR, low, Italian Industrial Production m/m, -0.3%, 0.4%, 0.1%
Wed, 2013.07.10 15:00, 15:00, USD, low, Final Wholesale Inventories m/m, -0.1%, 0.3%, -0.5%
Wed, 2013.07.10 15:30, 15:30, USD, medium, Crude Oil Inventories, -10.3M, -2.9M, -9.9M
Wed, 2013.07.10 18:00, 18:00, USD, high, 10-y Bond Auction, 2.21|2.5, , 2.67|2.6
Wed, 2013.07.10 19:00, 19:00, USD, high, FOMC Meeting Minutes, , , 
Wed, 2013.07.10 21:10, 21:10, USD, high, Fed Chairman Bernanke Speaks, , , 
Wed, 2013.07.10 23:30, 23:30, NZD, medium, BusinessNZ Manufacturing Index, 59.0, , 54.7
Wed, 2013.07.10 23:45, 23:45, NZD, low, FPI m/m, 0.3%, , 2.1%
Thu, 2013.07.11 0:50, 0:50, JPY, medium, Core Machinery Orders m/m, -8.8%, 1.9%, 10.5%
Thu, 2013.07.11 2:00, 2:00, AUD, medium, MI Inflation Expectations, 2.3%, , 2.6%
Thu, 2013.07.11 2:30, 2:30, AUD, high, Employment Change, -0.7K, 0.3K, 10.3K
Thu, 2013.07.11 2:30, 2:30, AUD, high, Unemployment Rate, 5.6%, 5.6%, 5.7%
Thu, 2013.07.11 3:48, 3:48, JPY, high, Monetary Policy Statement, , , 
Thu, 2013.07.11 7:00, 7:00, EUR, low, German WPI m/m, -0.4%, 0.3%, -0.4%
Thu, 2013.07.11 7:45, 7:45, EUR, low, French Final CPI m/m, 0.1%, 0.1%, 0.2%
Thu, 2013.07.11 8:38, 8:38, JPY, high, BOJ Press Conference, , , 
Thu, 2013.07.11 9:00, 9:00, EUR, medium, German Buba President Weidmann Speaks, , , 
Thu, 2013.07.11 9:00, 9:00, EUR, medium, ECB Monthly Bulletin, , , 
Thu, 2013.07.11 9:30, 9:30, GBP, medium, MPC Member Miles Speaks, , , 
Thu, 2013.07.11 10:42, 10:42, GBP, low, 30-y Bond Auction, 3.29|2.0, , 3.55|1.7
Thu, 2013.07.11 13:30, 13:30, CAD, medium, NHPI m/m, 0.2%, 0.3%, 0.1%
Thu, 2013.07.11 13:30, 13:30, USD, high, Unemployment Claims, 344K, 342K, 360K
Thu, 2013.07.11 13:30, 13:30, USD, medium, Import Prices m/m, -0.7%, 0.1%, -0.2%
Thu, 2013.07.11 15:30, 15:30, USD, low, Natural Gas Storage, 72B, 80B, 82B
Thu, 2013.07.11 16:00, 16:00, USD, low, FOMC Member Tarullo Speaks, , , 
Thu, 2013.07.11 18:00, 18:00, USD, low, 30-y Bond Auction, 3.36|2.5, , 3.66|2.3
Thu, 2013.07.11 18:54, 18:54, USD, medium, Federal Budget Balance, -138.7B, 42.1B, 116.5B
Fri, 2013.07.12 2:30, 2:30, AUD, high, Home Loans m/m, 1.2%, 2.3%, 1.8%
Fri, 2013.07.12 17:30, 17:30, JPY, low, Revised Industrial Production m/m, 2.0%, 2.0%, 1.9%
Fri, 2013.07.12 6:00, 6:00, JPY, low, BOJ Monthly Report, , , 
Fri, 2013.07.12 9:00, 9:00, CNY, medium, New Loans, 667B, 800B, 861B
Fri, 2013.07.12 9:00, 9:00, CNY, low, M2 Money Supply y/y, 15.8%, 15.3%, 14.0%
Fri, 2013.07.12 9:30, 9:30, GBP, low, Construction Output m/m, 4.6%, , 0.0%
Fri, 2013.07.12 10:00, 10:00, EUR, medium, Industrial Production m/m, 0.5%, -0.2%, -0.3%
Fri, 2013.07.12 10:00, 10:00, GBP, low, CB Leading Index m/m, 0.2%, , 0.4%
Fri, 2013.07.12 13:30, 13:30, USD, high, PPI m/m, 0.5%, 0.5%, 0.8%
Fri, 2013.07.12 13:30, 13:30, USD, medium, Core PPI m/m, 0.1%, 0.2%, 0.2%
Fri, 2013.07.12 14:55, 14:55, USD, high, Prelim UoM Consumer Sentiment, 84.1, 85.3, 83.9
Fri, 2013.07.12 14:55, 14:55, USD, low, Prelim UoM Inflation Expectations, 3.2%, , 3.3%
Fri, 2013.07.12 18:00, 18:00, USD, medium, FOMC Member Bullard Speaks, , , 
Mon, 2013.07.15 8:15, 8:15, CHF, medium, PPI m/m, -0.3%, 0.3%, 0.1%
Mon, 2013.07.15 13:00, 13:00, USD, low, FOMC Member Tarullo Speaks, , , 
Mon, 2013.07.15 13:30, 13:30, USD, high, Core Retail Sales m/m, 0.3%, 0.5%, 0.0%
Mon, 2013.07.15 13:30, 13:30, USD, high, Retail Sales m/m, 0.5%, 0.7%, 0.4%
Mon, 2013.07.15 13:30, 13:30, USD, medium, Empire State Manufacturing Index, 7.8, 5.2, 9.5
Mon, 2013.07.15 15:00, 15:00, USD, medium, Business Inventories m/m, 0.2%, 0.2%, 0.1%
Mon, 2013.07.15 23:45, 23:45, NZD, high, CPI q/q, 0.4%, 0.3%, 0.2%
Tue, 2013.07.16 2:30, 2:30, AUD, high, Monetary Policy Meeting Minutes, , , 
Tue, 2013.07.16 9:00, 9:00, EUR, low, Italian Trade Balance, 2.03B, 2.14B, 3.90B
Tue, 2013.07.16 9:30, 9:30, GBP, high, CPI y/y, 2.7%, 3.0%, 2.9%
Tue, 2013.07.16 9:30, 9:30, GBP, medium, PPI Input m/m, -0.6%, -0.2%, 0.2%
Tue, 2013.07.16 9:30, 9:30, GBP, medium, RPI y/y, 3.1%, 3.3%, 3.3%
Tue, 2013.07.16 9:30, 9:30, GBP, low, Core CPI y/y, 2.2%, 2.3%, 2.3%
Tue, 2013.07.16 9:30, 9:30, GBP, low, ONS HPI y/y, 2.6%, 2.9%, 2.9%
Tue, 2013.07.16 9:30, 9:30, GBP, low, PPI Output m/m, 0.0%, 0.1%, 0.1%
Tue, 2013.07.16 10:00, 10:00, EUR, high, German ZEW Economic Sentiment, 38.5, 39.8, 36.3
Tue, 2013.07.16 10:00, 10:00, EUR, medium, ZEW Economic Sentiment, 30.6, 31.8, 32.8
Tue, 2013.07.16 10:00, 10:00, EUR, low, Final CPI y/y, 1.6%, 1.6%, 1.6%
Tue, 2013.07.16 10:00, 10:00, EUR, low, Final Core CPI y/y, 1.2%, 1.2%, 1.2%
Tue, 2013.07.16 10:00, 10:00, EUR, low, Trade Balance, 15.2B, 15.8B, 14.6B
Tue, 2013.07.16 11:30, 11:30, GBP, medium, MPC Member Fisher Speaks, , , 
Tue, 2013.07.16 13:30, 13:30, CAD, high, Manufacturing Sales m/m, -2.1%, 0.7%, 0.7%
Tue, 2013.07.16 13:30, 13:30, USD, high, CPI y/y, 1.4%, 1.6%, 1.8%
Tue, 2013.07.16 13:30, 13:30, USD, high, Core CPI m/m, 0.2%, 0.2%, 0.2%
Tue, 2013.07.16 13:30, 13:30, USD, medium, CPI m/m, 0.1%, 0.3%, 0.5%
Tue, 2013.07.16 14:00, 14:00, USD, medium, TIC Long-Term Purchases, -21.8B, 14.3B, -27.2B
Tue, 2013.07.16 14:15, 14:15, USD, medium, Capacity Utilization Rate, 77.7%, 77.8%, 77.8%
Tue, 2013.07.16 14:15, 14:15, USD, medium, Industrial Production m/m, 0.0%, 0.2%, 0.3%
Tue, 2013.07.16 15:00, 15:00, USD, low, NAHB Housing Market Index, 51, 51, 57
Tue, 2013.07.16 15:30, 15:30, NZD, low, GDT Price Index, 0.7%, , 5.3%
Tue, 2013.07.16 19:15, 19:15, USD, medium, FOMC Member George Speaks, , , 
Wed, 2013.07.17 0:50, 0:50, JPY, medium, Monetary Policy Meeting Minutes, , , 
Wed, 2013.07.17 1:30, 1:30, AUD, low, MI Leading Index m/m, 0.7%, , 0.2%
Wed, 2013.07.17 3:00, 3:00, CNY, low, CB Leading Index m/m, 0.3%, , 1.0%
Wed, 2013.07.17 3:00, 3:00, CNY, low, Foreign Direct Investment ytd/y, 1.0%, , 4.9%
Wed, 2013.07.17 9:30, 9:30, GBP, high, Claimant Count Change, -16.2K, -7.5K, -21.2K
Wed, 2013.07.17 9:30, 9:30, GBP, high, MPC Asset Purchase Facility Votes, 3-0-6, 2-0-7, 0-0-9
Wed, 2013.07.17 9:30, 9:30, GBP, high, MPC Official Bank Rate Votes, 0-0-9, 0-0-9, 0-0-9
Wed, 2013.07.17 9:30, 9:30, GBP, medium, Average Earnings Index 3m/y, 1.3%, 1.4%, 1.7%
Wed, 2013.07.17 9:30, 9:30, GBP, medium, Unemployment Rate, 7.8%, 7.8%, 7.8%
Wed, 2013.07.17 10:00, 10:00, CHF, medium, Credit Suisse Economic Expectations, 2.2, , 4.8
Wed, 2013.07.17 10:32, 10:32, EUR, medium, German 10-y Bond Auction, 1.55|1.5, , 1.57|1.6
Wed, 2013.07.17 13:30, 13:30, CAD, medium, Foreign Securities Purchases, 14.91B, 10.23B, 6.74B
Wed, 2013.07.17 13:30, 13:30, USD, high, Building Permits, 0.99M, 1.00M, 0.91M
Wed, 2013.07.17 13:30, 13:30, USD, medium, Housing Starts, 0.93M, 0.96M, 0.84M
Wed, 2013.07.17 15:00, 15:00, CAD, high, BOC Monetary Policy Report, , , 
Wed, 2013.07.17 15:00, 15:00, CAD, high, BOC Rate Statement, , , 
Wed, 2013.07.17 15:00, 15:00, CAD, high, Overnight Rate, 1.00%, 1.00%, 1.00%
Wed, 2013.07.17 15:00, 15:00, USD, high, Fed Chairman Bernanke Testifies, , , 
Wed, 2013.07.17 15:00, 15:00, USD, low, Fed Monetary Policy Report, , , 
Wed, 2013.07.17 15:30, 15:30, USD, medium, Crude Oil Inventories, -9.9M, -1.9M, -6.9M
Wed, 2013.07.17 16:15, 16:15, CAD, high, BOC Press Conference, , , 
Thu, 2013.07.18 5:30, 5:30, USD, medium, FOMC Member Raskin Speaks, , , 
Wed, 2013.07.17 19:00, 19:00, USD, medium, Beige Book, , , 
Thu, 2013.07.18 1:00, 1:00, AUD, medium, CB Leading Index m/m, 0.3%, , 0.0%
Thu, 2013.07.18 2:30, 2:30, AUD, medium, NAB Quarterly Business Confidence, 2, , -1
Thu, 2013.07.18 7:00, 7:00, CHF, low, Trade Balance, 2.12B, 2.41B, 2.73B
Thu, 2013.07.18 9:00, 9:00, EUR, medium, Current Account, 23.8B, 21.3B, 19.6B
Thu, 2013.07.18 9:30, 9:30, GBP, high, Retail Sales m/m, 2.1%, 0.2%, 0.2%
Thu, 2013.07.18 9:54, 9:54, EUR, medium, Spanish 10-y Bond Auction, 4.77|1.8, , 4.72|2.3
Thu, 2013.07.18 13:30, 13:30, CAD, medium, Wholesale Sales m/m, 0.4%, 0.4%, 2.3%
Thu, 2013.07.18 13:30, 13:30, USD, high, Unemployment Claims, 358K, 344K, 334K
Thu, 2013.07.18 15:00, 15:00, USD, high, Philly Fed Manufacturing Index, 12.5, 8.5, 19.8
Thu, 2013.07.18 15:00, 15:00, USD, low, CB Leading Index m/m, 0.2%, 0.3%, 0.0%
Thu, 2013.07.18 15:30, 15:30, USD, high, Fed Chairman Bernanke Testifies, , , 
Thu, 2013.07.18 15:30, 15:30, USD, low, Natural Gas Storage, 82B, 63B, 58B
Thu, 2013.07.18 23:45, 23:45, NZD, low, Visitor Arrivals m/m, -0.7%, , -1.5%
Fri, 2013.07.19 4:03, 4:03, NZD, low, Credit Card Spending y/y, 2.6%, , 5.4%
Fri, 2013.07.19 17:32, 17:32, JPY, low, All Industries Activity m/m, 0.1%, 1.3%, 1.1%
Fri, 2013.07.19 7:00, 7:00, EUR, medium, German PPI m/m, -0.3%, -0.2%, 0.0%
