Mon, 2022.09.05 8:00, 8:00, CHF, low, GDP q/q, 0.5%, 0.4%, 
Tue, 2022.10.18 1:30, 1:30, AUD, high, Monetary Policy Meeting Minutes, , , 
Tue, 2022.10.18 17:30, 17:30, JPY, low, Tertiary Industry Activity m/m, , , 
Tue, 2022.10.18 13:15, 13:15, CAD, low, Housing Starts, , , 
Tue, 2022.10.18 13:30, 13:30, CAD, low, Foreign Securities Purchases, , , 
Tue, 2022.10.18 14:15, 14:15, USD, low, Capacity Utilization Rate, , , 
Tue, 2022.10.18 14:15, 14:15, USD, low, Industrial Production m/m, , , 
Tue, 2022.10.18 15:00, 15:00, USD, low, NAHB Housing Market Index, , , 
Tue, 2022.10.18 15:30, 15:30, AUD, low, CB Leading Index m/m, , , 
Tue, 2022.10.18 15:30, 15:30, NZD, low, GDT Price Index, , , 
Tue, 2022.10.18 21:00, 21:00, USD, low, TIC Long-Term Purchases, , , 
Tue, 2022.10.18 22:45, 22:45, NZD, high, CPI q/q, , , 
Wed, 2022.10.19 0:30, 0:30, AUD, low, MI Leading Index m/m, , , 
Wed, 2022.10.19 7:00, 7:00, GBP, high, CPI y/y, , , 
Wed, 2022.10.19 7:00, 7:00, GBP, low, Core CPI y/y, , , 
Wed, 2022.10.19 7:00, 7:00, GBP, low, PPI Input m/m, , , 
Wed, 2022.10.19 7:00, 7:00, GBP, low, PPI Output m/m, , , 
Wed, 2022.10.19 7:00, 7:00, GBP, low, RPI y/y, , , 
Wed, 2022.10.19 9:00, 9:00, CHF, low, Credit Suisse Economic Expectations, , , 
Wed, 2022.10.19 9:30, 9:30, GBP, low, HPI y/y, , , 
Wed, 2022.10.19 10:00, 10:00, EUR, low, Final CPI y/y, , , 
Wed, 2022.10.19 10:00, 10:00, EUR, low, Final Core CPI y/y, , , 
Wed, 2022.10.19 10:00, 10:00, GBP, low, 10-y Bond Auction, , , 
Wed, 2022.10.19 10:00, 10:00, EUR, low, German 10-y Bond Auction, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, high, CPI m/m, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, medium, Common CPI y/y, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, medium, Median CPI y/y, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, medium, Trimmed CPI y/y, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, low, Core CPI m/m, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, low, IPPI m/m, , , 
Wed, 2022.10.19 13:30, 13:30, CAD, low, RMPI m/m, , , 
Wed, 2022.10.19 13:30, 13:30, USD, low, Building Permits, , , 
Wed, 2022.10.19 13:30, 13:30, USD, low, Housing Starts, , , 
Wed, 2022.10.19 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.10.19 19:00, 19:00, USD, low, Beige Book, , , 
Thu, 2022.10.20 0:50, 0:50, JPY, low, Trade Balance, , , 
Thu, 2022.10.20 1:30, 1:30, AUD, high, Employment Change, , , 
Thu, 2022.10.20 1:30, 1:30, AUD, high, Unemployment Rate, , , 
Thu, 2022.10.20 1:30, 1:30, AUD, low, NAB Quarterly Business Confidence, , , 
Thu, 2022.10.20 1:30, 1:30, JPY, low, Flash Manufacturing PMI, , , 
Thu, 2022.10.20 17:30, 17:30, AUD, low, RBA Annual Report, , , 
Thu, 2022.10.20 7:00, 7:00, EUR, low, German PPI m/m, , , 
Thu, 2022.10.20 8:15, 8:15, EUR, high, French Flash Services PMI, , , 
Thu, 2022.10.20 8:15, 8:15, EUR, low, French Flash Manufacturing PMI, , , 
Thu, 2022.10.20 8:30, 8:30, EUR, high, German Flash Manufacturing PMI, , , 
Thu, 2022.10.20 8:30, 8:30, EUR, high, German Flash Services PMI, , , 
Thu, 2022.10.20 9:00, 9:00, EUR, low, Current Account, , , 
Thu, 2022.10.20 9:00, 9:00, EUR, low, Flash Manufacturing PMI, , , 
Thu, 2022.10.20 9:00, 9:00, EUR, low, Flash Services PMI, , , 
Thu, 2022.10.20 9:30, 9:30, GBP, high, Flash Manufacturing PMI, , , 
Thu, 2022.10.20 9:30, 9:30, GBP, high, Flash Services PMI, , , 
Thu, 2022.10.20 10:00, 10:00, EUR, low, ZEW Economic Sentiment, , , 
Thu, 2022.10.20 10:00, 10:00, EUR, low, German ZEW Economic Sentiment, , , 
Thu, 2022.10.20 11:00, 11:00, GBP, low, CBI Industrial Order Expectations, , , 
Thu, 2022.10.20 13:30, 13:30, CAD, low, NHPI m/m, , , 
Thu, 2022.10.20 13:30, 13:30, USD, medium, Philly Fed Manufacturing Index, , , 
Thu, 2022.10.20 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.10.20 15:00, 15:00, USD, medium, Existing Home Sales, , , 
Thu, 2022.10.20 15:00, 15:00, USD, low, CB Leading Index m/m, , , 
Thu, 2022.10.20 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Fri, 2022.10.21 0:01, 0:01, GBP, low, GfK Consumer Confidence, , , 
Fri, 2022.10.21 0:30, 0:30, JPY, low, National Core CPI y/y, , , 
Fri, 2022.10.21 3:00, 3:00, NZD, low, Credit Card Spending y/y, , , 
Fri, 2022.10.21 7:00, 7:00, CHF, low, Trade Balance, , , 
Fri, 2022.10.21 7:00, 7:00, GBP, medium, Retail Sales m/m, , , 
Fri, 2022.10.21 7:00, 7:00, GBP, low, Public Sector Net Borrowing, , , 
Fri, 2022.10.21 7:00, 7:00, GBP, low, 30-y Bond Auction, , , 
Fri, 2022.10.21 13:30, 13:30, CAD, medium, Core Retail Sales m/m, , , 
Fri, 2022.10.21 13:30, 13:30, CAD, medium, Retail Sales m/m, , , 
Fri, 2022.10.21 15:00, 15:00, EUR, low, Consumer Confidence, , , 
Mon, 2022.10.24 11:00, 11:00, GBP, low, CBI Realized Sales, , , 
Mon, 2022.10.24 14:45, 14:45, USD, high, Flash Services PMI, , , 
Mon, 2022.10.24 14:45, 14:45, USD, medium, Flash Manufacturing PMI, , , 
Mon, 2022.10.24 22:45, 22:45, NZD, low, Trade Balance, , , 
Tue, 2022.10.25 0:50, 0:50, JPY, low, SPPI y/y, , , 
Tue, 2022.10.25 6:00, 6:00, JPY, low, BOJ Core CPI y/y, , , 
Tue, 2022.10.25 7:00, 7:00, EUR, low, German Import Prices m/m, , , 
Tue, 2022.10.25 14:00, 14:00, EUR, low, Belgian NBB Business Climate, , , 
Tue, 2022.10.25 14:00, 14:00, USD, low, HPI m/m, , , 
Tue, 2022.10.25 14:00, 14:00, USD, low, S&P/CS Composite-20 HPI y/y, , , 
Tue, 2022.10.25 15:00, 15:00, USD, high, CB Consumer Confidence, , , 
Tue, 2022.10.25 15:00, 15:00, USD, medium, Richmond Manufacturing Index, , , 
Wed, 2022.10.26 1:00, 1:00, NZD, low, ANZ Business Confidence, , , 
Wed, 2022.10.26 1:30, 1:30, AUD, high, CPI q/q, , , 
Wed, 2022.10.26 1:30, 1:30, AUD, high, Trimmed Mean CPI q/q, , , 
Wed, 2022.10.26 7:00, 7:00, EUR, low, German Retail Sales m/m, , , 
Wed, 2022.10.26 9:00, 9:00, EUR, medium, German ifo Business Climate, , , 
Wed, 2022.10.26 9:00, 9:00, EUR, low, M3 Money Supply y/y, , , 
Wed, 2022.10.26 9:00, 9:00, EUR, low, Private Loans y/y, , , 
Wed, 2022.10.26 13:30, 13:30, USD, low, Goods Trade Balance, , , 
Wed, 2022.10.26 13:30, 13:30, USD, low, Prelim Wholesale Inventories m/m, , , 
Wed, 2022.10.26 15:00, 15:00, CAD, high, BOC Monetary Policy Report, , , 
Wed, 2022.10.26 15:00, 15:00, CAD, high, BOC Rate Statement, , , 
Wed, 2022.10.26 15:00, 15:00, CAD, high, Overnight Rate, , , 
Wed, 2022.10.26 15:00, 15:00, USD, medium, New Home Sales, , , 
Wed, 2022.10.26 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.10.26 16:00, 16:00, CAD, high, BOC Press Conference, , , 
Thu, 2022.10.27 1:30, 1:30, AUD, low, Import Prices q/q, , , 
Thu, 2022.10.27 7:00, 7:00, EUR, low, German GfK Consumer Climate, , , 
Thu, 2022.10.27 8:00, 8:00, CHF, low, KOF Economic Barometer, , , 
Thu, 2022.10.27 8:00, 8:00, EUR, low, Spanish Unemployment Rate, , , 
Thu, 2022.10.27 8:00, 8:00, GBP, low, FPC Meeting Minutes, , , 
Thu, 2022.10.27 8:00, 8:00, GBP, low, FPC Statement, , , 
Thu, 2022.10.27 10:00, 10:00, EUR, low, Italian Prelim CPI m/m, , , 
Thu, 2022.10.27 13:15, 13:15, EUR, high, Main Refinancing Rate, , , 
Thu, 2022.10.27 13:15, 13:15, EUR, high, Monetary Policy Statement, , , 
Thu, 2022.10.27 13:30, 13:30, USD, high, Advance GDP q/q, , , 
Thu, 2022.10.27 13:30, 13:30, USD, medium, Advance GDP Price Index q/q, , , 
Thu, 2022.10.27 13:30, 13:30, USD, medium, Core Durable Goods Orders m/m, , , 
Thu, 2022.10.27 13:30, 13:30, USD, medium, Durable Goods Orders m/m, , , 
Thu, 2022.10.27 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.10.27 13:45, 13:45, EUR, high, ECB Press Conference, , , 
Thu, 2022.10.27 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Fri, 2022.10.28 0:30, 0:30, JPY, low, Tokyo Core CPI y/y, , , 
Fri, 2022.10.28 0:30, 0:30, JPY, low, Unemployment Rate, , , 
Fri, 2022.10.28 0:50, 0:50, JPY, low, Retail Sales y/y, , , 
Fri, 2022.10.28 1:30, 1:30, AUD, low, PPI q/q, , , 
Fri, 2022.10.28 1:30, 1:30, JPY, high, BOJ Outlook Report, , , 
Fri, 2022.10.28 1:30, 1:30, JPY, high, Monetary Policy Statement, , , 
Fri, 2022.10.28 1:30, 1:30, JPY, low, BOJ Policy Rate, , , 
Fri, 2022.10.28 6:00, 6:00, JPY, low, Housing Starts y/y, , , 
Fri, 2022.10.28 6:30, 6:30, EUR, low, French Flash GDP q/q, , , 
Fri, 2022.10.28 5:00, 5:00, EUR, low, German Prelim CPI m/m, , , 
Fri, 2022.10.28 5:00, 5:00, JPY, high, BOJ Press Conference, , , 
Fri, 2022.10.28 7:45, 7:45, EUR, low, French Consumer Spending m/m, , , 
Fri, 2022.10.28 7:45, 7:45, EUR, low, French Prelim CPI m/m, , , 
Fri, 2022.10.28 8:00, 8:00, EUR, low, Spanish Flash GDP q/q, , , 
Fri, 2022.10.28 9:00, 9:00, EUR, low, Italian Monthly Unemployment Rate, , , 
Fri, 2022.10.28 9:00, 9:00, EUR, low, Italian Prelim GDP q/q, , , 
Fri, 2022.10.28 9:30, 9:30, GBP, low, M4 Money Supply m/m, , , 
Fri, 2022.10.28 9:30, 9:30, GBP, low, Mortgage Approvals, , , 
Fri, 2022.10.28 9:30, 9:30, GBP, low, Net Lending to Individuals m/m, , , 
Fri, 2022.10.28 9:30, 9:30, EUR, low, Italian 10-y Bond Auction, , , 
Fri, 2022.10.28 13:30, 13:30, CAD, medium, GDP m/m, , , 
Fri, 2022.10.28 13:30, 13:30, USD, high, Core PCE Price Index m/m, , , 
Fri, 2022.10.28 13:30, 13:30, USD, low, Employment Cost Index q/q, , , 
Fri, 2022.10.28 13:30, 13:30, USD, low, Personal Income m/m, , , 
Fri, 2022.10.28 13:30, 13:30, USD, low, Personal Spending m/m, , , 
Fri, 2022.10.28 15:00, 15:00, USD, medium, Pending Home Sales m/m, , , 
Fri, 2022.10.28 15:00, 15:00, USD, medium, Revised UoM Consumer Sentiment, , , 
Fri, 2022.10.28 15:00, 15:00, USD, low, Revised UoM Inflation Expectations, , , 
Sat, 2022.10.29 3:00, 3:00, CHF, holiday, Daylight Saving Time Shift, , , 
Sat, 2022.10.29 3:00, 3:00, EUR, holiday, Daylight Saving Time Shift, , , 
Sat, 2022.10.29 3:00, 3:00, GBP, holiday, Daylight Saving Time Shift, , , 
Mon, 2022.10.31 8:00, 8:00, GBP, low, Nationwide HPI m/m, , , 
Mon, 2022.10.31 9:00, 9:00, EUR, low, Spanish Flash CPI y/y, , , 
Mon, 2022.10.31 11:00, 11:00, EUR, medium, CPI Flash Estimate y/y, , , 
Mon, 2022.10.31 11:00, 11:00, EUR, medium, Core CPI Flash Estimate y/y, , , 
Mon, 2022.10.31 11:00, 11:00, EUR, low, Prelim Flash GDP q/q, , , 
Mon, 2022.10.31 14:45, 14:45, USD, low, Chicago PMI, , , 
Mon, 2022.10.31 14:45, 14:45, USD, low, Loan Officer Survey, , , 
Mon, 2022.10.31 22:45, 22:45, NZD, low, Building Consents m/m, , , 
Tue, 2022.11.01 1:30, 1:30, JPY, low, Final Manufacturing PMI, , , 
Tue, 2022.11.01 2:45, 2:45, CNY, low, Caixin Manufacturing PMI, , , 
Tue, 2022.11.01 4:30, 4:30, AUD, high, Cash Rate, , , 
Tue, 2022.11.01 4:30, 4:30, AUD, high, RBA Rate Statement, , , 
Tue, 2022.11.01 6:30, 6:30, AUD, low, Commodity Prices y/y, , , 
Tue, 2022.11.01 5:00, 5:00, EUR, holiday, French Bank Holiday, , , 
Tue, 2022.11.01 5:00, 5:00, EUR, holiday, Italian Bank Holiday, , , 
Tue, 2022.11.01 9:15, 9:15, EUR, low, Spanish Manufacturing PMI, , , 
Tue, 2022.11.01 9:30, 9:30, CHF, low, Manufacturing PMI, , , 
Tue, 2022.11.01 9:45, 9:45, EUR, low, Italian Manufacturing PMI, , , 
Tue, 2022.11.01 9:45, 9:45, EUR, low, Italian Manufacturing PMI, , , 
Tue, 2022.11.01 9:50, 9:50, EUR, low, French Final Manufacturing PMI, , , 
Tue, 2022.11.01 9:55, 9:55, EUR, low, German Final Manufacturing PMI, , , 
Tue, 2022.11.01 10:00, 10:00, EUR, low, Final Manufacturing PMI, , , 
Tue, 2022.11.01 10:30, 10:30, GBP, low, Final Manufacturing PMI, , , 
Tue, 2022.11.01 5:00, 5:00, All, medium, OPEC-JMMC Meetings, , , 
Tue, 2022.11.01 14:30, 14:30, CAD, low, Manufacturing PMI, , , 
Tue, 2022.11.01 14:45, 14:45, USD, low, Final Manufacturing PMI, , , 
Tue, 2022.11.01 15:00, 15:00, USD, high, ISM Manufacturing PMI, , , 
Tue, 2022.11.01 15:00, 15:00, USD, low, Construction Spending m/m, , , 
Tue, 2022.11.01 15:00, 15:00, USD, low, ISM Manufacturing Prices, , , 
Tue, 2022.11.01 5:00, 5:00, USD, low, Wards Total Vehicle Sales, , , 
Tue, 2022.11.01 5:00, 5:00, NZD, low, GDT Price Index, , , 
Tue, 2022.11.01 16:00, 16:00, USD, high, JOLTS Job Openings, , , 
Tue, 2022.11.01 21:00, 21:00, NZD, low, RBNZ Financial Stability Report, , , 
Tue, 2022.11.01 22:30, 22:30, AUD, low, AIG Manufacturing Index, , , 
Tue, 2022.11.01 22:45, 22:45, NZD, high, Employment Change q/q, , , 
Tue, 2022.11.01 22:45, 22:45, NZD, high, Unemployment Rate, , , 
Tue, 2022.11.01 22:45, 22:45, NZD, low, Labor Cost Index q/q, , , 
Wed, 2022.11.02 0:01, 0:01, GBP, low, BRC Shop Price Index y/y, , , 
Wed, 2022.11.02 0:50, 0:50, JPY, low, Monetary Base y/y, , , 
Wed, 2022.11.02 0:50, 0:50, JPY, low, Monetary Policy Meeting Minutes, , , 
Wed, 2022.11.02 1:30, 1:30, AUD, low, Building Approvals m/m, , , 
Wed, 2022.11.02 1:30, 1:30, AUD, low, Retail Sales m/m, , , 
Wed, 2022.11.02 4:35, 4:35, JPY, low, 10-y Bond Auction, , , 
Wed, 2022.11.02 8:00, 8:00, EUR, low, German Trade Balance, , , 
Wed, 2022.11.02 9:00, 9:00, EUR, low, Spanish Unemployment Change, , , 
Wed, 2022.11.02 9:55, 9:55, EUR, low, German Unemployment Change, , , 
Wed, 2022.11.02 10:30, 10:30, GBP, low, Construction PMI, , , 
Wed, 2022.11.02 10:30, 10:30, EUR, low, Spanish 10-y Bond Auction, , , 
Wed, 2022.11.02 10:30, 10:30, EUR, low, French 10-y Bond Auction, , , 
Wed, 2022.11.02 13:15, 13:15, USD, high, ADP Non-Farm Employment Change, , , 
Wed, 2022.11.02 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.11.02 19:00, 19:00, USD, high, FOMC Statement, , , 
Wed, 2022.11.02 19:00, 19:00, USD, high, Federal Funds Rate, , , 
Wed, 2022.11.02 19:30, 19:30, USD, high, FOMC Press Conference, , , 
Wed, 2022.11.02 5:00, 5:00, JPY, holiday, Bank Holiday, , , 
Thu, 2022.11.03 1:00, 1:00, NZD, low, ANZ Commodity Prices m/m, , , 
Thu, 2022.11.03 1:30, 1:30, AUD, low, Trade Balance, , , 
Thu, 2022.11.03 2:45, 2:45, CNY, low, Caixin Services PMI, , , 
Thu, 2022.11.03 6:00, 6:00, JPY, low, Consumer Confidence, , , 
Thu, 2022.11.03 8:30, 8:30, CHF, low, Retail Sales y/y, , , 
Thu, 2022.11.03 9:15, 9:15, EUR, low, Spanish Services PMI, , , 
Thu, 2022.11.03 9:45, 9:45, EUR, low, Italian Services PMI, , , 
Thu, 2022.11.03 9:50, 9:50, EUR, low, French Final Services PMI, , , 
Thu, 2022.11.03 9:55, 9:55, EUR, low, German Final Services PMI, , , 
Thu, 2022.11.03 10:00, 10:00, EUR, low, Final Services PMI, , , 
Thu, 2022.11.03 10:30, 10:30, GBP, low, Final Services PMI, , , 
Thu, 2022.11.03 11:00, 11:00, EUR, low, Unemployment Rate, , , 
Thu, 2022.11.03 12:30, 12:30, USD, low, Challenger Job Cuts y/y, , , 
Thu, 2022.11.03 13:00, 13:00, GBP, high, BOE Monetary Policy Report, , , 
Thu, 2022.11.03 13:00, 13:00, GBP, high, MPC Official Bank Rate Votes, , , 
Thu, 2022.11.03 13:00, 13:00, GBP, high, Monetary Policy Summary, , , 
Thu, 2022.11.03 13:00, 13:00, GBP, high, Official Bank Rate, , , 
Thu, 2022.11.03 13:30, 13:30, CAD, low, Building Permits m/m, , , 
Thu, 2022.11.03 13:30, 13:30, CAD, low, Trade Balance, , , 
Thu, 2022.11.03 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.11.03 13:30, 13:30, USD, low, Prelim Nonfarm Productivity q/q, , , 
Thu, 2022.11.03 13:30, 13:30, USD, low, Prelim Unit Labor Costs q/q, , , 
Thu, 2022.11.03 13:30, 13:30, USD, low, Trade Balance, , , 
Thu, 2022.11.03 14:45, 14:45, USD, low, Final Services PMI, , , 
Thu, 2022.11.03 15:00, 15:00, USD, high, ISM Services PMI, , , 
Thu, 2022.11.03 15:00, 15:00, USD, low, Factory Orders m/m, , , 
Thu, 2022.11.03 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Thu, 2022.11.03 22:30, 22:30, AUD, low, AIG Construction Index, , , 
Fri, 2022.11.04 0:30, 0:30, JPY, low, Household Spending y/y, , , 
Fri, 2022.11.04 1:30, 1:30, AUD, medium, RBA Monetary Policy Statement, , , 
Fri, 2022.11.04 4:35, 4:35, JPY, low, 30-y Bond Auction, , , 
Fri, 2022.11.04 6:00, 6:00, JPY, low, Leading Indicators, , , 
Fri, 2022.11.04 8:00, 8:00, EUR, low, German Factory Orders m/m, , , 
Fri, 2022.11.04 8:30, 8:30, CHF, high, CPI m/m, , , 
Fri, 2022.11.04 8:45, 8:45, EUR, low, French Gov Budget Balance, , , 
Fri, 2022.11.04 8:45, 8:45, EUR, low, French Prelim Private Payrolls q/q, , , 
Fri, 2022.11.04 9:00, 9:00, CHF, low, Foreign Currency Reserves, , , 
Fri, 2022.11.04 9:00, 9:00, CHF, low, SECO Consumer Climate, , , 
Fri, 2022.11.04 10:00, 10:00, EUR, low, Italian Retail Sales m/m, , , 
Fri, 2022.11.04 11:00, 11:00, EUR, low, PPI m/m, , , 
Fri, 2022.11.04 13:30, 13:30, CAD, high, Employment Change, , , 
Fri, 2022.11.04 13:30, 13:30, CAD, high, Unemployment Rate, , , 
Fri, 2022.11.04 13:30, 13:30, USD, high, Average Hourly Earnings m/m, , , 
Fri, 2022.11.04 13:30, 13:30, USD, high, Non-Farm Employment Change, , , 
Fri, 2022.11.04 13:30, 13:30, USD, high, Unemployment Rate, , , 
Fri, 2022.11.04 15:00, 15:00, CAD, medium, Ivey PMI, , , 
Mon, 2022.11.07 6:00, 6:00, JPY, low, Prelim Machine Tool Orders y/y, , , 
Mon, 2022.11.07 7:00, 7:00, EUR, low, German Industrial Production m/m, , , 
Mon, 2022.11.07 7:00, 7:00, GBP, low, Halifax HPI m/m, , , 
Mon, 2022.11.07 7:45, 7:45, EUR, low, French Trade Balance, , , 
Mon, 2022.11.07 9:30, 9:30, EUR, low, Sentix Investor Confidence, , , 
Mon, 2022.11.07 5:00, 5:00, EUR, low, Eurogroup Meetings, , , 
Mon, 2022.11.07 20:00, 20:00, USD, low, Consumer Credit m/m, , , 
Mon, 2022.11.07 21:30, 21:30, AUD, low, AIG Services Index, , , 
Mon, 2022.11.07 23:50, 23:50, JPY, low, BOJ Summary of Opinions, , , 
Mon, 2022.11.07 23:50, 23:50, JPY, low, Bank Lending y/y, , , 
Mon, 2022.11.07 23:50, 23:50, JPY, low, Current Account, , , 
Tue, 2022.11.08 0:01, 0:01, GBP, low, BRC Retail Sales Monitor y/y, , , 
Tue, 2022.11.08 0:30, 0:30, AUD, low, NAB Business Confidence, , , 
Tue, 2022.11.08 6:45, 6:45, CHF, low, Unemployment Rate, , , 
Tue, 2022.11.08 10:00, 10:00, EUR, low, Retail Sales m/m, , , 
Tue, 2022.11.08 11:00, 11:00, USD, low, NFIB Small Business Index, , , 
Tue, 2022.11.08 11:00, 11:00, USD, low, IBD/TIPP Economic Optimism, , , 
Tue, 2022.11.08 5:00, 5:00, USD, high, Congressional Elections, , , 
Tue, 2022.11.08 18:01, 18:01, USD, low, 10-y Bond Auction, , , 
Tue, 2022.11.08 23:30, 23:30, AUD, low, Westpac Consumer Sentiment, , , 
Wed, 2022.11.09 2:00, 2:00, NZD, medium, Inflation Expectations q/q, , , 
Wed, 2022.11.09 17:00, 17:00, JPY, low, Economy Watchers Sentiment, , , 
Wed, 2022.11.09 7:45, 7:45, EUR, low, French Industrial Production m/m, , , 
Wed, 2022.11.09 9:00, 9:00, EUR, low, Italian Industrial Production m/m, , , 
Wed, 2022.11.09 15:00, 15:00, USD, low, Final Wholesale Inventories m/m, , , 
Wed, 2022.11.09 15:30, 15:30, USD, low, Crude Oil Inventories, , , 
Wed, 2022.11.09 18:01, 18:01, USD, low, 30-y Bond Auction, , , 
Wed, 2022.11.09 23:50, 23:50, JPY, low, M2 Money Stock y/y, , , 
Thu, 2022.11.10 0:00, 0:00, AUD, low, MI Inflation Expectations, , , 
Thu, 2022.11.10 9:00, 9:00, EUR, low, ECB Economic Bulletin, , , 
Thu, 2022.11.10 9:00, 9:00, CNY, low, M2 Money Supply y/y, , , 
Thu, 2022.11.10 9:00, 9:00, CNY, low, New Loans, , , 
Thu, 2022.11.10 10:00, 10:00, EUR, medium, EU Economic Forecasts, , , 
Thu, 2022.11.10 10:00, 10:00, GBP, low, 10-y Bond Auction, , , 
Thu, 2022.11.10 13:30, 13:30, USD, high, CPI m/m, , , 
Thu, 2022.11.10 13:30, 13:30, USD, high, Core CPI m/m, , , 
Thu, 2022.11.10 13:30, 13:30, USD, medium, Unemployment Claims, , , 
Thu, 2022.11.10 13:30, 13:30, USD, low, Mortgage Delinquencies, , , 
Thu, 2022.11.10 15:30, 15:30, USD, low, Natural Gas Storage, , , 
Thu, 2022.11.10 19:00, 19:00, USD, low, Federal Budget Balance, , , 
Thu, 2022.11.10 21:00, 21:00, USD, low, FOMC Financial Stability Report, , , 
Thu, 2022.11.10 21:30, 21:30, NZD, low, BusinessNZ Manufacturing Index, , , 
Thu, 2022.11.10 21:45, 21:45, NZD, low, FPI m/m, , , 
Thu, 2022.11.10 23:50, 23:50, JPY, low, Core Machinery Orders m/m, , , 
Thu, 2022.11.10 23:50, 23:50, JPY, low, PPI y/y, , , 
Fri, 2022.11.11 0:01, 0:01, GBP, low, RICS House Price Balance, , , 
Fri, 2022.11.11 1:30, 1:30, CNY, low, CPI y/y, , , 
Fri, 2022.11.11 1:30, 1:30, CNY, low, PPI y/y, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, medium, Retail Sales y/y, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, Fixed Asset Investment ytd/y, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, Industrial Production y/y, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, NBS Press Conference, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, Unemployment Rate, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, Trade Balance, , , 
Fri, 2022.11.11 2:00, 2:00, CNY, low, USD-Denominated Trade Balance, , , 
Fri, 2022.11.11 7:00, 7:00, EUR, low, German Final CPI m/m, , , 
Fri, 2022.11.11 7:00, 7:00, EUR, low, German WPI m/m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, medium, GDP m/m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, medium, Prelim GDP q/q, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Construction Output m/m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Goods Trade Balance, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Index of Services 3m/3m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Industrial Production m/m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Manufacturing Production m/m, , , 
Fri, 2022.11.11 7:00, 7:00, GBP, low, Prelim Business Investment q/q, , , 
Fri, 2022.11.11 5:00, 5:00, EUR, holiday, French Bank Holiday, , , 
Fri, 2022.11.11 5:00, 5:00, EUR, low, ECOFIN Meetings, , , 
Fri, 2022.11.11 5:00, 5:00, EUR, low, German 30-y Bond Auction, , , 
Fri, 2022.11.11 5:00, 5:00, CAD, holiday, Bank Holiday, , , 
Fri, 2022.11.11 5:00, 5:00, USD, holiday, Bank Holiday, , , 
Fri, 2022.11.11 5:00, 5:00, GBP, low, NIESR GDP Estimate, , , 
Fri, 2022.11.11 15:00, 15:00, USD, high, Prelim UoM Consumer Sentiment, , , 
Fri, 2022.11.11 15:00, 15:00, USD, low, Prelim UoM Inflation Expectations, , , 
Fri, 2022.11.11 7:00, 7:00, EUR, low, German Final CPI m/m, 0.9%, 0.9%, 0.9%
Fri, 2022.11.11 7:00, 7:00, GBP, high, GDP m/m, -0.1%, -0.4%, -0.6%
Fri, 2022.11.11 7:00, 7:00, GBP, medium, Prelim GDP q/q, 0.2%, -0.5%, -0.2%
Fri, 2022.11.11 7:00, 7:00, GBP, low, Construction Output m/m, 0.6%, -0.6%, 0.4%
Fri, 2022.11.11 7:00, 7:00, GBP, low, Goods Trade Balance, -17.2B, -18.6B, -15.7B
Fri, 2022.11.11 7:00, 7:00, GBP, low, Index of Services 3m/3m, 0.1%, -0.2%, 0.0%
Fri, 2022.11.11 7:00, 7:00, GBP, low, Industrial Production m/m, -1.4%, -0.3%, 0.2%
Fri, 2022.11.11 7:00, 7:00, GBP, low, Manufacturing Production m/m, -1.1%, -0.4%, 0.0%
Fri, 2022.11.11 7:00, 7:00, GBP, low, Prelim Business Investment q/q, 3.7%, 0.6%, -0.5%
Fri, 2022.11.11 5:00, 5:00, EUR, holiday, French Bank Holiday, , , 
Fri, 2022.11.11 10:00, 10:00, EUR, medium, EU Economic Forecasts, , , 
Fri, 2022.11.11 5:00, 5:00, EUR, low, ECOFIN Meetings, , , 
Fri, 2022.11.11 12:45, 12:45, CHF, medium, SNB Chairman Jordan Speaks, , , 
